"LengthGroup","Year","estimate","lower","upper"
"Length bin 19-21",17,85.1138400916433,83.2402717853248,86.9874083979618
"Length bin 21-23",17,78.9476202824435,77.3739899038334,80.5212506610535
"Length bin 23-25",17,62.9197565803596,61.7425747350546,64.0969384256645
"Length bin 25-27",17,47.6931122344931,46.6948481560594,48.6913763129268
"Length bin 27-29",17,38.7345931051788,37.7829223904929,39.6862638198648
"Length bin 29-31",17,35.076012722961,34.2366582676977,35.9153671782242
"Length bin 31-33",17,33.6443955812953,32.9296308298807,34.3591603327099
"Length bin 33-35",17,32.4591409441973,31.7860955614354,33.1321863269593
"Length bin 35-37",17,30.9190764857203,30.262687882812,31.5754650886286
"Length bin 37-39",17,29.0129141202676,28.4137586410348,29.6120695995005
"Length bin 39-41",17,26.8208301911307,26.2973641846939,27.3442961975675
"Length bin 41-43",17,24.411873329541,23.9362317966969,24.8875148623852
"Length bin 43-45",17,21.864116751763,21.4043436918829,22.323889811643
"Length bin 45-47",17,19.2679743706246,18.8172011441321,19.7187475971172
"Length bin 47-49",17,16.7095643370894,16.2732066194515,17.1459220547273
"Length bin >49",17,69.5611049212854,66.8329138540963,72.2892959884745
